Timestamp,InvoiceID,Customer,Items,Total,PaymentMode,Bill Link,Click Me,User
3/5/2026 18:01:25,BILL-050326-180125,"Social Forestry Range Olpad, Surat Division ","[{""id"":1147,""quantity"":1000,""cpts"":[{""qty"":1000,""no"":""DG-0113""}],""name"":""Sapindus trifoliatus - અરીઠા(15 x 25)"",""price"":4,""nursery"":""Dungarda""},{""quantity"":1000,""id"":1150,""name"":""Schleichera oleosa - કુસુમ(15 x 25)"",""cpts"":[{""qty"":1000,""no"":""DG-1949""}],""nursery"":""Dungarda"",""price"":4},{""nursery"":""Dungarda"",""price"":4,""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""cpts"":[{""qty"":1000,""no"":""DG-1710""}],""quantity"":1000,""id"":1137},{""name"":""Sterculia guttata - ડવલો(15 x 25)"",""cpts"":[{""qty"":500,""no"":""DG-2089""}],""nursery"":""Dungarda"",""price"":4,""quantity"":500,""id"":1164},{""id"":1133,""quantity"":500,""cpts"":[{""qty"":500,""no"":""DG-1716""}],""name"":""Oroxylum indicum - ટેટૂ(15 x 25)"",""price"":4,""nursery"":""Dungarda""},{""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":1000,""no"":""DG-1937""}],""name"":""Albizia procera - કિલાઈ(15 x 25)"",""id"":1018,""quantity"":1000},{""nursery"":""Dungarda"",""price"":4,""name"":""Diospyros melanoxylon - ટીમરૂ(15 x 25)"",""cpts"":[{""qty"":1000,""no"":""DG-2097""},{""qty"":1000,""no"":""DG-1777""}],""quantity"":2000,""id"":1069},{""id"":1175,""quantity"":1000,""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":1000,""no"":""DG-2123""}],""name"":""Syzygium heyneanum - જલજાંબુ(15 x 25)""},{""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":400,""no"":""DG-2138""}],""name"":""Aegle marmelos - બીલી(15 x 25)"",""id"":1010,""quantity"":400},{""cpts"":[{""qty"":500,""no"":""DG-2190""}],""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""price"":4,""nursery"":""Dungarda"",""id"":1030,""quantity"":500},{""quantity"":500,""id"":1061,""nursery"":""Dungarda"",""price"":4,""name"":""Dalbergia latifolia - સીસમ(15 x 25)"",""cpts"":[{""qty"":500,""no"":""DG-1861""}]},{""quantity"":400,""id"":1012,""nursery"":""Dungarda"",""price"":4,""name"":""Ailanthus excelsa - અરડુસો(15 x 25)"",""cpts"":[{""qty"":400,""no"":""DG-1699""}]},{""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":200,""no"":""DG-2139""}],""name"":""Butea monosperma - ખાખરો(15 x 25)"",""id"":1043,""quantity"":200},{""id"":1120,""quantity"":200,""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":200,""no"":""DG-2180""}],""name"":""Mangifera indica - આંબો(15 x 25)""},{""name"":""Terminalia arjuna - અર્જુન(15 x 25)"",""cpts"":[{""qty"":500,""no"":""DG-0016""}],""nursery"":""Dungarda"",""price"":4,""quantity"":500,""id"":1181},{""nursery"":""Dungarda"",""price"":4,""name"":""Sapindus emarginatus - અરીઠી(15 x 25)"",""cpts"":[{""qty"":200,""no"":""DG-2090""}],""quantity"":200,""id"":1146},{""nursery"":""Dungarda"",""price"":4,""name"":""Syzigium cumini - જામ્બુ(15 x 25)"",""cpts"":[{""qty"":300,""no"":""DG-1040""}],""quantity"":300,""id"":1174},{""id"":1089,""quantity"":200,""price"":4,""nursery"":""Dungarda"",""cpts"":[{""qty"":200,""no"":""DG-0360""}],""name"":""Ficus recemosa - ઉમરો(15 x 25)""},{""name"":""Ficus benghalensis - વડ(15 x 25)"",""cpts"":[{""qty"":100,""no"":""Ficus benghalensis""}],""nursery"":""Dungarda"",""price"":4,""quantity"":100,""id"":1087},{""quantity"":200,""id"":1114,""nursery"":""Dungarda"",""price"":4,""name"":""Madhuca longifolia - મહુડો(15 x 25)"",""cpts"":[{""qty"":200,""no"":""DG-1898""}]},{""quantity"":300,""id"":1020,""name"":""Annona squamosa - સીતાફળ(15 x 25)"",""cpts"":[{""qty"":300,""no"":""Annona squamosa""}],""nursery"":""Dungarda"",""price"":4}]",48000,Forest Department,https://drive.google.com/file/d/1BEcrVtzsyP3FDIpvjd0F3dFyjC2PMDGZ/view?usp=drivesdk,View Bill,rfo-dungarda
3/7/2026 11:16:28,BILL-070326-111628,સામાજિક વનિકરણ રેંજ બારડોલી,"[{""quantity"":300,""cpts"":[{""qty"":300,""no"":""-""}],""id"":1149,""name"":""Saraca indica - અશોકા(15 x 25)"",""nursery"":""Singalkhanch"",""price"":4},{""name"":""Drypetes roxburghii - પુત્રંજીવા(15 x 25)"",""id"":1075,""quantity"":300,""cpts"":[{""qty"":300,""no"":""-""}],""price"":4,""nursery"":""Singalkhanch""}]",2400,Forest Department,https://drive.google.com/file/d/1tgG-aGpAmDWF9kozxeLLm0WbG4ruaixM/view?usp=drivesdk,View Bill,rfo-ukai
3/11/2026 11:27:43,BILL-110326-112742,સામાજિક વનિકરણ રેંજ બારડોલી,"[{""id"":1150,""quantity"":1100,""price"":4,""nursery"":""Bhurivel"",""cpts"":[{""no"":""UK-659"",""qty"":1100}],""name"":""Schleichera oleosa - કુસુમ(15 x 25)""},{""nursery"":""Bhurivel"",""quantity"":1100,""price"":4,""id"":1137,""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""cpts"":[{""no"":""UK-1574"",""qty"":1100}]},{""nursery"":""Bhurivel"",""quantity"":1100,""price"":7.5,""id"":1083,""name"":""Erythrina indica - પોન્ગારો(20 x 30)"",""cpts"":[{""qty"":1100,""no"":""-""}]},{""id"":1053,""nursery"":""Bhurivel"",""price"":4,""quantity"":1050,""name"":""Cordia dichotoma - ગુંદા(15 x 25)"",""cpts"":[{""qty"":1050,""no"":""UK-583""}]},{""id"":1147,""price"":4,""quantity"":1000,""nursery"":""Bhurivel"",""cpts"":[{""no"":""UK-879"",""qty"":1000}],""name"":""Sapindus trifoliatus - અરીઠા(15 x 25)""},{""id"":1122,""nursery"":""Bhurivel"",""quantity"":1000,""price"":4,""name"":""Manilkara hexandra - રાયણ(15 x 25)"",""cpts"":[{""qty"":1000,""no"":""GJPMS-667""}]},{""cpts"":[{""no"":""UK-1366"",""qty"":430}],""name"":""Terminalia bellarica - બહેડા(15 x 25)"",""price"":4,""quantity"":430,""nursery"":""Bhurivel"",""id"":1182},{""name"":""Terminalia chebula - હરડે(15 x 25)"",""cpts"":[{""no"":""-"",""qty"":50}],""id"":1184,""nursery"":""Bhurivel"",""price"":4,""quantity"":50},{""quantity"":100,""price"":4,""nursery"":""Bhurivel"",""id"":1078,""cpts"":[{""qty"":100,""no"":""UK-1373""}],""name"":""Emblica officinalis - આંબળા(15 x 25)""}]",31570,Forest Department,https://drive.google.com/file/d/1W2SRUoAFsLJRgdCRXjq9rvvVZ33kYAvO/view?usp=drivesdk,View Bill,rfo-ukai
3/11/2026 11:36:18,BILL-110326-113617,સામાજિક વનિકરણ રેંજ બારડોલી,"[{""quantity"":200,""name"":""Saraca indica - અશોકા(15 x 25)"",""price"":4,""nursery"":""Singalkhanch"",""cpts"":[{""qty"":200,""no"":""NBD-837""}],""id"":1149},{""cpts"":[{""qty"":700,""no"":""-""}],""nursery"":""Singalkhanch"",""id"":1075,""name"":""Drypetes roxburghii - પુત્રંજીવા(15 x 25)"",""quantity"":700,""price"":4}]",3600,Forest Department,https://drive.google.com/file/d/1hDl90WQjvaazbojYqD8CG_e4T5GrSWdx/view?usp=drivesdk,View Bill,rfo-ukai
3/13/2026 12:20:58,BILL-130326-122057,"સામાજીક વનીકરણ - ભરૂચ , રેન્જ- આમોદ","[{""nursery"":""Shivrajpur"",""price"":4,""quantity"":300,""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""id"":1030,""cpts"":[{""qty"":300,""no"":""GJ-NBD-461""}]},{""cpts"":[{""no"":""GJPMS-320"",""qty"":300}],""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""id"":1137,""nursery"":""Shivrajpur"",""quantity"":300,""price"":4},{""price"":4,""quantity"":300,""nursery"":""Shivrajpur"",""name"":""Holoptelea integrifolia - કણજી/પાપડો/કણઝો(15 x 25)"",""id"":1101,""cpts"":[{""qty"":300,""no"":""GJPMS-337""}]},{""name"":""Sapindus trifoliatus - અરીઠા(15 x 25)"",""id"":1147,""cpts"":[{""no"":""GJPMS-1541"",""qty"":300}],""price"":4,""quantity"":300,""nursery"":""Shivrajpur""},{""name"":""Cordia dichotoma - ગુંદા(15 x 25)"",""id"":1053,""cpts"":[{""no"":""GJPMS-922"",""qty"":300}],""price"":4,""quantity"":300,""nursery"":""Shivrajpur""},{""cpts"":[{""qty"":300,""no"":""GJPMS-18""}],""id"":1166,""name"":""Sterculia urens - કડાયો(15 x 25)"",""nursery"":""Shivrajpur"",""quantity"":300,""price"":4},{""quantity"":300,""price"":4,""nursery"":""Shivrajpur"",""cpts"":[{""qty"":300,""no"":""GJPMS-341""}],""name"":""Diospyros melanoxylon - ટીમરૂ(15 x 25)"",""id"":1069},{""nursery"":""Shivrajpur"",""price"":4,""quantity"":300,""name"":""Carissa carandas - કરમદા(15 x 25)"",""id"":1047,""cpts"":[{""qty"":300,""no"":""GJPMS-597""}]}]",9600,Forest Department,https://drive.google.com/file/d/1wylyycOnv0UXJExQ2ZVG8djDgWn_QAVx/view?usp=drivesdk,View Bill,rfo-shivrajpur
3/13/2026 13:30:44,BILL-130326-133044,સામાજિક વનિકણ રેંજ બારડોલી,"[{""nursery"":""Bhurivel"",""quantity"":1000,""id"":1114,""name"":""Madhuca longifolia - મહુડો(15 x 25)"",""price"":4,""cpts"":[{""qty"":1000,""no"":""UK-603""}]},{""quantity"":1000,""nursery"":""Bhurivel"",""price"":4,""cpts"":[{""no"":""UK-305"",""qty"":1000}],""id"":1095,""name"":""Haldina cordifolia - હલ્દુ(15 x 25)""},{""quantity"":1000,""nursery"":""Bhurivel"",""cpts"":[{""qty"":1000,""no"":""UK-1578""}],""price"":4,""name"":""Mitragyna parvifolia - કલમ(15 x 25)"",""id"":1129},{""price"":4,""cpts"":[{""qty"":500,""no"":""-""}],""name"":""Salvadora persica - પીલુ-ખારી(15 x 25)"",""id"":1144,""quantity"":500,""nursery"":""Bhurivel""},{""id"":1141,""name"":""Randia dumetorum - મીંઢોળ(15 x 25)"",""cpts"":[{""no"":""-"",""qty"":500}],""price"":4,""nursery"":""Bhurivel"",""quantity"":500},{""id"":1077,""name"":""Ehretia laevis - વઢવાડિયો(15 x 25)"",""cpts"":[{""qty"":900,""no"":""-""}],""price"":4,""nursery"":""Bhurivel"",""quantity"":900},{""quantity"":100,""nursery"":""Bhurivel"",""cpts"":[{""qty"":100,""no"":""-""}],""price"":4,""id"":1148,""name"":""Sapium insigne - શેરોડ(15 x 25)""},{""nursery"":""Bhurivel"",""quantity"":600,""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""id"":1030,""price"":4,""cpts"":[{""no"":""UK-1247"",""qty"":600}]},{""id"":1163,""name"":""Sterculia foetida - જંગલી બદામ(15 x 25)"",""price"":4,""cpts"":[{""qty"":500,""no"":""-""}],""nursery"":""Bhurivel"",""quantity"":500},{""nursery"":""Bhurivel"",""quantity"":600,""name"":""Mallotus phillipinensis - કંપીલો(15 x 25)"",""id"":1118,""cpts"":[{""no"":""UK-1381"",""qty"":600}],""price"":4}]",26800,Forest Department,https://drive.google.com/file/d/1ZlpxZNLtMT6wMXjTVWrdHyKur_DUWOra/view?usp=drivesdk,View Bill,rfo-ukai
3/13/2026 16:03:43,BILL-130326-160343," RANGE FOREST OFFICE SUPA, NAVSARI SF DIVISION","[{""id"":1150,""quantity"":600,""name"":""Schleichera oleosa - કુસુમ(15 x 25)"",""cpts"":[{""no"":""DG-1949"",""qty"":600}],""price"":4,""nursery"":""Dungarda""},{""cpts"":[{""no"":""DG-1710"",""qty"":600}],""price"":4,""nursery"":""Dungarda"",""quantity"":600,""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""id"":1137},{""name"":""Mallotus phillipinensis - કંપીલો(15 x 25)"",""quantity"":600,""id"":1118,""nursery"":""Dungarda"",""price"":4,""cpts"":[{""qty"":600,""no"":""DG-0593""}]},{""price"":4,""nursery"":""Dungarda"",""cpts"":[{""no"":""-"",""qty"":200}],""id"":1075,""quantity"":200,""name"":""Drypetes roxburghii - પુત્રંજીવા(15 x 25)""},{""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""quantity"":600,""id"":1030,""cpts"":[{""qty"":600,""no"":""DG-2190""}],""nursery"":""Dungarda"",""price"":4},{""cpts"":[{""qty"":600,""no"":""DG-1913""}],""nursery"":""Dungarda"",""price"":4,""name"":""Petrocarpus marsupium - બીયો(15 x 25)"",""quantity"":600,""id"":1134},{""cpts"":[{""no"":""DG-2166"",""qty"":300}],""nursery"":""Dungarda"",""price"":4,""name"":""Ficus arnottiana - ખડકપાયર(15 x 25)"",""quantity"":300,""id"":1086}]",14000,Forest Department,https://drive.google.com/file/d/1T8IRb51tAwAaMULRxIjFLEzA9LEBy0h1/view?usp=drivesdk,View Bill,rfo-dungarda
3/17/2026 11:53:14,BILL-170326-115313,"સામાજીક વનીકરણ - ભરૂચ , રેન્જ - આમોદ","[{""quantity"":500,""nursery"":""Shivrajpur"",""cpts"":[{""no"":""GJBRD-51"",""qty"":500}],""name"":""Schleichera oleosa - કુસુમ(15 x 25)"",""price"":4,""id"":1150},{""name"":""Terminalia chebula - હરડે(15 x 25)"",""price"":4,""id"":1184,""quantity"":500,""nursery"":""Shivrajpur"",""cpts"":[{""no"":""GJ-NBD-1364"",""qty"":500}]},{""quantity"":500,""nursery"":""Shivrajpur"",""cpts"":[{""qty"":500,""no"":""GJPMS-190""}],""name"":""Manilkara hexandra - રાયણ(15 x 25)"",""price"":4,""id"":1122},{""cpts"":[{""qty"":500,""no"":""GJPMS-1237""}],""nursery"":""Shivrajpur"",""quantity"":500,""id"":1061,""price"":4,""name"":""Dalbergia latifolia - સીસમ(15 x 25)""},{""id"":1062,""name"":""Dalbergia paniculata - પતરાળી(15 x 25)"",""price"":4,""nursery"":""Shivrajpur"",""cpts"":[{""qty"":500,""no"":""GJPMS-735""}],""quantity"":500},{""nursery"":""Shivrajpur"",""cpts"":[{""no"":""GJ-PMS-1452"",""qty"":500}],""quantity"":500,""id"":1073,""name"":""Dolichandron falcata - મેડસીંગ, મટરસીંગ(15 x 25)"",""price"":4},{""cpts"":[{""no"":""GJPMS-598"",""qty"":300}],""nursery"":""Shivrajpur"",""quantity"":300,""id"":1087,""price"":4,""name"":""Ficus benghalensis - વડ(15 x 25)""},{""quantity"":300,""cpts"":[{""qty"":300,""no"":""GJPMS-1540""}],""nursery"":""Shivrajpur"",""price"":4,""name"":""Mallotus phillipinensis - કંપીલો(15 x 25)"",""id"":1118}]",14400,Forest Department,https://drive.google.com/file/d/1Yt7dmufuiOxiIiBt7wNNROzCsiO6nvNi/view?usp=drivesdk,View Bill,rfo-shivrajpur
3/17/2026 12:30:42,BILL-170326-123041,સામાજિક વનિકરણ રેંજ બારડોલી,"[{""name"":""Mitragyna parvifolia - કલમ(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""qty"":300,""no"":""UK-1578""}],""price"":4,""quantity"":300,""id"":1129},{""quantity"":300,""id"":1095,""price"":4,""cpts"":[{""no"":""UK-1582"",""qty"":300}],""name"":""Haldina cordifolia - હલ્દુ(15 x 25)"",""nursery"":""Bhurivel""},{""price"":4,""quantity"":300,""id"":1154,""name"":""Semecarpus anacardium - ભિલામો(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""no"":""-"",""qty"":300}]},{""cpts"":[{""qty"":300,""no"":""UK-963""}],""name"":""Miliusa tomentosa - ઉંભ(15 x 25)"",""nursery"":""Bhurivel"",""quantity"":300,""id"":1126,""price"":4},{""price"":4,""id"":1166,""quantity"":200,""nursery"":""Bhurivel"",""name"":""Sterculia urens - કડાયો(15 x 25)"",""cpts"":[{""qty"":200,""no"":""UK-886""}]},{""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""qty"":300,""no"":""UK-1574""}],""price"":4,""quantity"":300,""id"":1137},{""nursery"":""Bhurivel"",""name"":""Vitex negundo - નગોડ(15 x 25)"",""cpts"":[{""no"":""-"",""qty"":200}],""price"":4,""id"":1194,""quantity"":200},{""price"":4,""id"":1016,""quantity"":300,""nursery"":""Bhurivel"",""name"":""Albizia odoratissima - સીરસ(15 x 25)"",""cpts"":[{""no"":""UK-1564"",""qty"":300}]},{""quantity"":300,""id"":1101,""price"":4,""cpts"":[{""qty"":300,""no"":""UK-1385""}],""name"":""Holoptelea integrifolia - કણજી/પાપડો/કણઝો(15 x 25)"",""nursery"":""Bhurivel""},{""cpts"":[{""qty"":300,""no"":""UK-881""}],""name"":""Sapindus trifoliatus - અરીઠા(15 x 25)"",""nursery"":""Bhurivel"",""quantity"":300,""id"":1147,""price"":4},{""cpts"":[{""no"":""UK-1568"",""qty"":200}],""name"":""Bridelia retusa - આસન(15 x 25)"",""nursery"":""Bhurivel"",""quantity"":200,""id"":1038,""price"":4},{""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""qty"":300,""no"":""UK-1438""}],""price"":4,""quantity"":300,""id"":1030},{""name"":""Careya arborea - કુંભ(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""no"":""UK-300"",""qty"":200}],""price"":4,""quantity"":200,""id"":1045},{""price"":4,""quantity"":100,""id"":1118,""name"":""Mallotus phillipinensis - કંપીલો(15 x 25)"",""nursery"":""Bhurivel"",""cpts"":[{""qty"":100,""no"":""UK-1381""}]},{""cpts"":[{""qty"":300,""no"":""UK-583""}],""name"":""Cordia dichotoma - ગુંદા(15 x 25)"",""nursery"":""Bhurivel"",""quantity"":300,""id"":1053,""price"":4},{""id"":1182,""quantity"":300,""price"":4,""cpts"":[{""no"":""UK-632"",""qty"":300}],""nursery"":""Bhurivel"",""name"":""Terminalia bellarica - બહેડા(15 x 25)""},{""nursery"":""Bhurivel"",""name"":""Schleichera oleosa - કુસુમ(15 x 25)"",""cpts"":[{""no"":""UK-659"",""qty"":300}],""price"":4,""id"":1150,""quantity"":300},{""cpts"":[{""qty"":300,""no"":""UK-1510""}],""nursery"":""Bhurivel"",""name"":""Syzigium cumini - જામ્બુ(15 x 25)"",""id"":1174,""quantity"":300,""price"":4},{""cpts"":[{""qty"":200,""no"":""-""}],""nursery"":""Bhurivel"",""name"":""Ficus virens - પીપરી(15 x 25)"",""id"":1091,""quantity"":200,""price"":4}]",20000,Forest Department,https://drive.google.com/file/d/1ohLlaWs53IZ0PGFNM7HTF8mOnGglQCFH/view?usp=drivesdk,View Bill,rfo-ukai
3/17/2026 13:03:19,BILL-170326-130318,સામાજિક વનિકરણ રેંજ બારડોલી,"[{""cpts"":[{""qty"":50,""no"":""-""}],""name"":""Annona squamosa - સીતાફળ(15 x 25)"",""price"":4,""nursery"":""Bhurivel"",""id"":1020,""quantity"":50},{""id"":1030,""quantity"":50,""cpts"":[{""qty"":50,""no"":""1438""}],""price"":4,""name"":""Bauhinia purpurea - કંચનાર(15 x 25)"",""nursery"":""Bhurivel""},{""nursery"":""Bhurivel"",""name"":""Bridelia retusa - આસન(15 x 25)"",""price"":4,""cpts"":[{""no"":""1568"",""qty"":50}],""quantity"":50,""id"":1038},{""quantity"":10,""id"":1065,""nursery"":""Bhurivel"",""price"":4,""name"":""Dillenia pentagyna - કરમલ(15 x 25)"",""cpts"":[{""qty"":10,""no"":""-""}]},{""cpts"":[{""no"":""-"",""qty"":50}],""price"":4,""name"":""Drypetes roxburghii - પુત્રંજીવા(15 x 25)"",""nursery"":""Bhurivel"",""id"":1075,""quantity"":50},{""id"":1184,""quantity"":50,""cpts"":[{""no"":""-"",""qty"":50}],""nursery"":""Bhurivel"",""price"":4,""name"":""Terminalia chebula - હરડે(15 x 25)""},{""id"":1118,""quantity"":50,""cpts"":[{""qty"":50,""no"":""UK-1568""}],""price"":4,""name"":""Mallotus phillipinensis - કંપીલો(15 x 25)"",""nursery"":""Bhurivel""},{""quantity"":50,""id"":1134,""nursery"":""Bhurivel"",""name"":""Petrocarpus marsupium - બીયો(15 x 25)"",""price"":4,""cpts"":[{""qty"":50,""no"":""UK-1071""}]},{""id"":1126,""quantity"":50,""cpts"":[{""qty"":50,""no"":""UK-1061""}],""nursery"":""Bhurivel"",""price"":4,""name"":""Miliusa tomentosa - ઉંભ(15 x 25)""},{""id"":1157,""quantity"":50,""cpts"":[{""no"":""UK-748"",""qty"":50}],""name"":""Soymida febrifuga - રોહણ(15 x 25)"",""price"":4,""nursery"":""Bhurivel""},{""cpts"":[{""no"":""UK-1574"",""qty"":50}],""nursery"":""Bhurivel"",""name"":""Pongamia pinnata - કરંજ(15 x 25)"",""price"":4,""id"":1137,""quantity"":50},{""quantity"":50,""id"":1130,""nursery"":""Bhurivel"",""price"":4,""name"":""Morinda tomentosa - આલ(15 x 25)"",""cpts"":[{""qty"":50,""no"":""-""}]},{""quantity"":50,""id"":1149,""nursery"":""Bhurivel"",""price"":4,""name"":""Saraca indica - અશોકા(15 x 25)"",""cpts"":[{""qty"":50,""no"":""NBD-837""}]},{""id"":1123,""quantity"":50,""cpts"":[{""no"":""-"",""qty"":50}],""price"":4,""name"":""Maytenus emarginatus - વિકળો(15 x 25)"",""nursery"":""Bhurivel""},{""quantity"":10,""id"":1198,""nursery"":""Bhurivel"",""name"":""Wrightia dolichocarpa - દૂધકુડી(15 x 25)"",""price"":4,""cpts"":[{""qty"":10,""no"":""-""}]},{""quantity"":50,""id"":1194,""nursery"":""Bhurivel"",""name"":""Vitex negundo - નગોડ(15 x 25)"",""price"":4,""cpts"":[{""no"":""-"",""qty"":50}]},{""name"":""Sapindus trifoliatus - અરીઠા(15 x 25)"",""price"":4,""nursery"":""Bhurivel"",""cpts"":[{""qty"":50,""no"":""UK-879""}],""quantity"":50,""id"":1147}]",3080,Forest Department,https://drive.google.com/file/d/1chteV9s3ss4hiwEWQljnwmoYJFol5WLv/view?usp=drivesdk,View Bill,rfo-ukai
