Category,CptNo,Range,Center,Latitude,Longitude,Species,Date,Quantity(kg)
cpt,NBD-75,Rajpipla,Rajpipla,21.85765,73.51975,Emblica officinalis - આમળા,2026-01-31,8.3
cpt,NBD-237,Rajpipla,Rajpipla,21.859735,73.518227,Emblica officinalis - આમળા,2026-01-31,8.5
cpt,NBD- 1586,Rajpipla,Rajpipla,21.822753,73.549897,Spondias pinnata - ખાટો અંબાડો,2026-01-31,19
cpt,NBD- 1585,Rajpipla,Rajpipla,21.822377,73.550238,Spondias pinnata - ખાટો અંબાડો,2026-01-31,11.8
cpt,NBD- 2,Rajpipla,Rajpipla,21.857834,73.519805,Acacia catechu - ખેર,2026-01-21,45
cpt,NBD- 154,Rajpipla,Rajpipla,21.585402,73.705351,Acacia catechu - ખેર,2026-01-30,2.4
cpt,NBD- 816,Rajpipla,Rajpipla,21.683191,73.694661,Dalbergia latifolia - સીસમ,2026-02-06,1.9
cpt,NBD-1600,Rajpipla,Rajpipla,21.731786,73.757782,"Eriolaena candollei - બોથી, ઝાડ ભીંડો",2026-02-06,0.6
cpt,NBD-629,Rajpipla,Rajpipla,21.654525,73.81586,Mallotus phillipinensis - કંપીલો,2026-02-06,7.2
cpt,NBD-1370,Rajpipla,Rajpipla,21.651952,73.84836,Radermachera xylocarpa - ખડસીંગ,2026-02-07,7.8
cpt,NBD-1398,Rajpipla,Rajpipla,21.719552,73.790675,Oroxylum indicum - ટેટુ,2026-02-07,8.6
cpt,NBD-1368,Rajpipla,Rajpipla,21.651911,73.849429,Oroxylum indicum - ટેટુ,2026-02-07,9.7
cpt,NBD-1598,Rajpipla,Rajpipla,21.732031,73.758582,Radermachera xylocarpa - ખડસીંગ,2026-02-07,14.4
cpt,NBD-626,Rajpipla,Rajpipla,21.652584,73.815932,Mallotus phillipinensis - કંપીલો,2026-02-07,8.4
cpt,NBD- 1,Rajpipla,Rajpipla,21.857993,73.519697,Terminalia chebula - હરડે,2026-02-07,13
cpt,NBD-1599,Rajpipla,Rajpipla,21.731735,73.758509,Radermachera xylocarpa - ખડસીંગ,2026-02-07,12.8
cpt,NBD-1597,Rajpipla,Rajpipla,21.731929,73.758677,Radermachera xylocarpa - ખડસીંગ,2026-02-06,18.8
cpt,NBD-1023,Rajpipla,Rajpipla,21.815792,73.564342,Petrocarpus marsupium - બીયો,2026-02-04,5.8
cpt,NBD- 1545,Rajpipla,Rajpipla,21.816162,73.560087,Dalbergia paniculata - પતરાલી,2026-02-04,1.1
cpt,NBD-1013,Rajpipla,Rajpipla,21.815839,73.564189,Dalbergia paniculata - પતરાલી,2026-02-04,1.6
cpt,NBD- 1018,Rajpipla,Rajpipla,21.807365,73.560257,Spondias pinnata - ખાટો અંબાડો,2026-02-04,7.2
cpt,NBD-1018,Rajpipla,Rajpipla,21.807365,73.560257,Spondias pinnata - ખાટો અંબાડો,2026-02-04,7.2
cpt,NBD- 1023,Rajpipla,Rajpipla,21.815792,73.564342,Spondias pinnata - ખાટો અંબાડો,2026-02-04,5.8
cpt,BCR-729,Rajpipla,Motiya,21.554464,73.510125,Stereospermum chelonoides - પાટલા,2026-02-06,5.5
cpt,BCR-717,Rajpipla,Motiya,21.553944,73.486949,Stereospermum chelonoides - પાટલા,2026-02-06,7.3
cpt,BCR-763,Rajpipla,Motiya,21.591926,73.421231,Acacia catechu - ખેર,2026-02-12,6
cpt,BCR-763,Rajpipla,Motiya,21.591926,73.421231,Holoptelia integrifolia - પલપલીયો,2026-02-12,6
cpt,NBD-1020,Rajpipla,Rajpipla,21.815571,73.564172,Dalbergia paniculata - પતરાલી,2026-02-12,1.4
cpt,NBD-1017,Rajpipla,Rajpipla,21.815054,73.563523,Petrocarpus marsupium - બીયો,2026-02-12,5.7
cpt,BCR-615,Rajpipla,Motiya,21.616389,73.423308,Bridelia retusa - આશન,2026-02-13,7
cpt,NBD- 1186,Rajpipla,Rajpipla,21.832521,73.697471,Anogeissus latifolia - ધાવડો,2026-02-13,5.1
cpt,NBD-1578,Rajpipla,Rajpipla,21.847111,73.691016,Cassia fistula - ગરમાળો,2026-02-13,24
cpt,NBD-1183,Rajpipla,Rajpipla,21.832489,73.697725,Anogeissus latifolia - ધાવડો,2026-02-13,4.2
cpt,NBD-1527,Rajpipla,Rajpipla,21.843829,73.697036,Schrebera swietenioides - મોખો,2026-02-13,3.2
cpt,BCR-338,Rajpipla,Motiya,21.611526,73.4156,Dalbergia latifolia - સીસમ,2026-02-13,8
cpt,BCR- 444,Rajpipla,Motiya,21.590698,73.41321,Petrocarpus marsupium - બીયો,2026-02-14,5.2
cpt,BCR- 688,Rajpipla,Motiya,21.757781,73.209893,Limonia acidissima - કોઠી,2026-02-14,5.6
cpt,BCR- 580,Rajpipla,Motiya,21.583126,73.413463,Bridelia retusa - આશન,2026-02-13,9.2
cpt,BCR-31,Rajpipla,Motiya,21.584904,73.406276,Terminalia bellarica - બહેડા,2026-02-16,8.2
cpt,BCR- 474,Rajpipla,Motiya,21.589454,73.411781,Petrocarpus marsupium - બીયો,2026-02-16,7
cpt,BCR- 678,Rajpipla,Motiya,21.59071,73.42338,Acacia polycantha - સફેદ ખેર,2026-02-16,11
cpt,BCR-649,Rajpipla,Motiya,21.58364,73.407361,Terminalia bellarica - બહેડા,2026-02-17,12
cpt,BCR-219,Rajpipla,Motiya,21.582652,73.414257,Dalbergia paniculata - પતરાલી,2026-02-17,7.5
cpt,BCR-544,Rajpipla,Motiya,21.582898,73.418121,Anogeissus latifolia - ધાવડો,2026-02-17,7.9
cpt,BCR-466,Rajpipla,Motiya,21.61102,73.420886,Stereospermum chelonoides - પાટલા,2026-02-19,13.8
cpt,BCR- 344,Rajpipla,Motiya,21.610161,73.423681,Diospyros melanoxylon - ટીમરૂ,2026-02-19,9
cpt,BCR-303,Rajpipla,Motiya,21.580558,73.410065,Acacia catechu - ખેર,2026-02-21,19.4
cpt,BCR-647,Rajpipla,Motiya,21.583994,73.406631,Dalbergia latifolia - સીસમ,2026-02-21,10.6
cpt,BCR-195,Rajpipla,Motiya,21.584352,73.418237,Petrocarpus marsupium - બીયો,2026-02-21,5.2
